country,totalNo
United States,2818
India,972
United Kingdom,419
Japan,245
South Korea,199
Canada,181
Spain,145
France,124
Mexico,110
Egypt,106
Turkey,105
Nigeria,95
Australia,87
Taiwan,81
Indonesia,79
Brazil,77
"United Kingdom, United States",75
Philippines,75
"United States, Canada",73
Germany,67
